,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
3086,설리: 허드슨강의 기적,2016-09-07,33.027,6274,7.2,드라마 역사,"[31, 6383, 350]",[190],363676,7.164856267653417
3134,엔더스 게임,2013-10-24,25.023,5128,6.6,SF 액션 모험,"[77996, 3, 130640]",[13079],80274,6.819052549296507
3138,로보캅,1987-07-17,29.217,4163,7.3,액션 스릴러 SF,"[27811, 44038, 6836]",[10491],5548,7.207359880650852
3141,개미,1998-10-02,32.914,3901,6.1,모험 애니메이션 코미디 가족,"[1243, 4430, 707]",[18863],8916,6.60308715543325
3173,캡틴 판타스틱,2016-07-08,23.423,5661,7.9,모험 드라마,"[110, 1261400, 1024722]",[11154],334533,7.5776725337130735
3193,세븐 파운즈,2008-12-18,28.944,6027,7.6,드라마,"[2888, 5916, 57755]",[20646],11321,7.40717640263883
3196,커뮤터,2018-01-11,28.698,3901,6.3,액션 스릴러 미스테리,"[3896, 21657, 17178]",[59521],399035,6.703279784173458
3201,얼라이드,2016-11-17,26.741,4066,6.8,액션 드라마 전쟁 로맨스 스릴러,"[287, 8293, 15440]",[24],369885,6.950570885231227
3214,판타스틱 4,2005-06-29,28.117,8303,5.8,액션 모험 판타지 SF,"[65524, 56731, 16828]",[20400],9738,6.217043209398533
3228,12 몽키즈,1995-12-29,25.004,7153,7.6,SF 스릴러 미스테리,"[62, 289, 287]",[280],63,7.4268447938544
3231,틴틴: 유니콘호의 비밀,2011-10-24,31.603,4736,6.9,모험 애니메이션 미스테리,"[478, 8784, 1333]",[488],17578,6.9937995452747295
3236,트레이닝 데이,2001-10-05,28.347,4923,7.5,액션 범죄 드라마,"[5292, 569, 349]",[20907],2034,7.327124495329631
3248,월터의 상상은 현실이 된다,2013-12-18,28.38,6716,7.2,모험 코미디 드라마 판타지,"[7399, 41091, 2228]",[7399],116745,7.166321418539777
3255,아메리칸 갱스터,2007-11-02,28.264,4586,7.6,드라마 범죄,"[934, 5292, 5294]",[578],4982,7.374379093408725
3265,헤이트풀8,2015-12-25,23.748,12509,7.7,드라마 미스테리 서부,"[2231, 6856, 10431]",[138],273248,7.559709648024319
3267,버드맨,2014-10-17,27.993,11581,7.5,드라마 코미디,"[2232, 54693, 58225]",[223],194662,7.401541325361008
3269,007 퀀텀 오브 솔러스,2008-10-29,30.89,6851,6.3,모험 액션 스릴러 범죄,"[8784, 18182, 8789]",[12995],10764,6.592478316043468
3279,러시: 더 라이벌,2013-09-02,26.933,6149,7.7,드라마 액션,"[74568, 3872, 59315]",[6159],96721,7.470796181301317
3290,아메리칸 뷰티,1999-09-15,28.169,10618,8.0,드라마,"[1979, 516, 2155]",[39],14,7.761041070005428
3298,유주얼 서스펙트,1995-07-19,27.663,8950,8.2,드라마 범죄 스릴러,"[5168, 9045, 1979]",[9032],629,7.869440610732214
3317,다크타워: 희망의 탑,2017-08-03,25.809,4428,5.7,판타지 액션 SF 모험,"[17605, 10297, 1696753]",[74752],353491,6.358159692008506
3321,스타워즈 에피소드 5: 제국의 역습,1980-05-20,25.06,14762,8.4,모험 액션 SF,"[2, 3, 4]",[10930],1891,8.130788271093882
3331,본 아이덴티티,2002-06-14,28.341,8083,7.4,액션 드라마 미스테리 스릴러,"[1892, 679, 2955]",[11694],2501,7.305233493137164
3334,레이디 버드,2017-09-01,30.197,7321,7.3,드라마 코미디,"[36592, 12133, 72638]",[45400],391713,7.233464770175669
3336,피치 퍼펙트,2012-09-28,25.791,5953,7.3,코미디 음악 로맨스,"[84223, 29221, 221098]",[168667],114150,7.224213810281402
3339,후크,1991-04-10,29.933,4600,6.8,모험 판타지 코미디 가족,"[4483, 2157, 1204]",[488],879,6.9410958849114675
3341,페이스 오프,1997-06-27,23.183,4430,7.0,액션 범죄 SF 스릴러,"[8891, 2963, 11148]",[11401],754,7.050521846964733
3343,녹터널 애니멀스,2016-11-04,26.936,6759,7.5,드라마 스릴러,"[9273, 131, 335]",[120615],340666,7.356941256867893
3358,에너미,2013-12-31,28.169,5024,6.9,스릴러 미스테리,"[131, 19119, 190895]",[137427],181886,6.9907676407810015
3360,씬 시티,2005-04-01,27.215,7051,7.4,스릴러 액션 범죄,"[62, 56731, 2296]",[2294],187,7.296291458293748
3368,판타스틱 Mr. 폭스,2009-10-23,28.211,4314,7.8,모험 애니메이션 코미디 가족,"[1461, 5064, 17881]",[5655],10315,7.472114595043746
3373,지옥의 묵시록,1979-08-15,29.902,6833,8.3,드라마 전쟁,"[8349, 3084, 3087]",[1776],28,7.8679018266031076
3402,내셔널 트레져: 비밀의 책,2007-12-13,29.427,4442,6.3,액션 모험 미스테리 스릴러,"[2963, 10127, 1037]",[12962],6637,6.6770820940632465
3414,점퍼,2008-02-13,27.916,4977,6.1,액션 모험 SF,"[17244, 478, 2231]",[11694],8247,6.542010569712143
3415,노예 12년,2013-10-18,32.067,10003,8.0,드라마 역사,"[5294, 17288, 1267329]",[72757],76203,7.750460053233402
3422,로드 오브 워,2005-09-16,23.158,3920,7.3,범죄 드라마 스릴러,"[2963, 18354, 7499]",[8685],1830,7.204476002992406
3434,뻐꾸기 둥지 위로 날아간 새,1975-11-19,30.246,8968,8.4,드라마,"[514, 7071, 518]",[3974],510,8.009439838132778
3444,미스틱 리버,2003-01-01,25.384,5490,7.7,스릴러 범죄 드라마 미스테리,"[2228, 504, 4724]",[190],322,7.4546863992490096
3455,칠드런 오브 맨,2006-09-22,25.171,6072,7.6,드라마 액션 스릴러 SF,"[2296, 1231, 64986]",[11218],9693,7.40804776856384
3470,바바둑,2014-05-22,23.261,5310,6.5,드라마 공포,"[33449, 1277195, 220442]",[164554],242224,6.756974736772371
3477,에이스 벤츄라,1994-02-04,30.348,4921,6.5,코미디 모험,"[206, 14405, 586]",[4499],3049,6.768325159459375
3523,스파이더맨 2,2004-06-25,26.255,13149,7.2,액션 모험 판타지,"[2219, 205, 17051]",[7623],558,7.179039605480406
3535,더티 댄싱,1987-08-21,26.495,5287,7.3,드라마 음악 로맨스,"[722, 723, 725]",[716],88,7.218711400780412
3541,데어데블,2003-02-14,27.04,4405,5.2,판타지 액션,"[880, 9278, 72466]",[16837],9480,6.094335988343833
3545,그래비티,2013-10-03,25.937,13745,7.2,SF 스릴러 드라마,"[18277, 1461, 228]",[11218],49047,7.179748152649238
3549,원스 어폰 어 타임 인 아메리카,1984-05-23,32.081,4430,8.4,드라마 범죄,"[380, 4512, 4513]",[4385],311,7.7963130927559785
3553,제이슨 본,2016-07-27,27.733,5066,6.3,액션 스릴러,"[1892, 227454, 2176]",[25598],324668,6.65079755131353
3562,더 비지트,2015-09-10,21.024,4058,6.3,공포 스릴러 미스테리,"[1385063, 1198286, 204271]",[11614],298312,6.695309627311017
3570,싸인,2002-08-02,27.616,4775,6.7,드라마 스릴러 SF 미스테리,"[2461, 73421, 28042]",[11614],2675,6.883112767504759
3575,데블스 에드버킷,1997-10-17,31.514,4951,7.4,드라마 미스테리 스릴러 공포,"[6384, 1158, 6885]",[18596],1813,7.2716464500801985
3582,터미널,2004-06-17,29.057,6704,7.3,코미디 드라마,"[31, 1922, 2283]",[488],594,7.229588260562675
3593,스타워즈 에피소드 6: 제다이의 귀환,1983-05-25,26.769,13481,7.9,모험 액션 SF,"[2, 3, 4]",[19800],1892,7.72280990841013
3597,퍼스트맨,2018-10-10,19.049,4608,7.0,역사 드라마,"[30614, 120932, 76512]",[136495],369972,7.049463112709997
3601,오리엔트 특급 살인,2017-11-03,23.495,8701,6.7,드라마 미스테리 범죄,"[11181, 1364004, 1160]",[11181],392044,6.825998226690928
3612,너브,2016-06-27,34.035,6284,7.1,미스테리 모험 범죄,"[34847, 54697, 71815]",[142272],328387,7.10310124674127
3616,로맨틱 홀리데이,2006-12-08,23.477,4256,7.1,코미디 로맨스,"[6941, 204, 9642]",[17698],1581,7.1038737017144085
3621,배트맨 앤 로빈,1997-06-20,28.173,4332,4.3,SF 액션 코미디,"[1461, 5577, 1100]",[5572],415,5.627858320681275
3636,트랜스포머 3,2011-06-28,23.179,7214,6.2,액션 SF 모험,"[10959, 236048, 19536]",[865],38356,6.51792249363592
3644,오션스 트웰브,2004-12-09,28.111,6282,6.6,스릴러 범죄,"[1461, 287, 1892]",[1884],163,6.794191549897592
3655,에이 아이,2001-06-29,23.342,5372,7.0,드라마 SF 모험,"[9640, 9642, 1518]",[488],644,7.045381257221724
3662,슬럼독 밀리어네어,2008-11-12,24.788,9330,7.7,드라마 로맨스,"[76788, 76789, 72118]",[2034],12405,7.525963958789249
3682,본 슈프리머시,2004-07-23,30.82,6537,7.3,액션 드라마 스릴러,"[1892, 679, 1248]",[25598],2502,7.2284601054743085
3690,127시간,2010-11-12,26.365,6610,7.1,모험 드라마 스릴러,"[17051, 20354, 51072]",[2034],44115,7.103004923719389
3702,멀홀랜드 드라이브,2001-06-06,28.305,5140,7.8,스릴러 드라마 미스테리,"[3489, 15007, 15009]",[5602],1018,7.50212050513613
3708,브리짓 존스의 일기,2001-04-13,31.65,4355,6.8,코미디 로맨스 드라마,"[9137, 5472, 3291]",[9158],634,6.9452905811623245
3711,빅쇼트,2015-12-11,23.604,7752,7.3,코미디 드라마,"[3894, 4495, 30614]",[55710],318846,7.235928826203704
3720,휴고,2011-11-22,28.091,6378,7.2,모험 드라마 가족,"[77996, 2282, 6730]",[1032],44826,7.165212361589899
3727,스트레스를 부르는 그 이름 직장상사,2011-07-08,34.184,5621,6.6,코미디 범죄,"[23532, 95101, 58224]",[71600],51540,6.807693244909931
3732,그리스,1978-07-07,29.626,6325,7.4,로맨스 코미디,"[8891, 8892, 8893]",[8876],621,7.288917802307189
3733,밀리언 달러 베이비,2004-12-15,22.676,8280,8.0,드라마,"[448, 190, 192]",[190],70,7.715119158257334
3747,스쿨 오브 락,2003-10-03,24.164,4839,7.1,코미디 음악 가족,"[70851, 3234, 17735]",[564],1584,7.1036148629637506
3750,일라이,2010-01-11,28.165,5294,6.8,액션 스릴러 SF,"[5292, 64, 18973]",[11447],20504,6.930429158971538
3755,아토믹 블론드,2017-07-26,22.713,5570,6.4,액션 스릴러,"[6885, 5530, 1230]",[40684],341013,6.6910046192215225
3776,미스터 히치: 당신을 위한 데이트 코치,2005-02-11,25.384,5040,6.5,코미디 드라마 로맨스,"[2888, 8170, 32895]",[17167],8488,6.764747891480923
3786,에이리언 4,1997-11-12,31.772,4028,6.1,SF 공포 액션,"[10205, 1920, 7486]",[2419],8078,6.595013858903048
3787,저지 드레드,2012-09-07,23.574,4336,6.8,액션 SF,"[1372, 52442, 17286]",[43141],49049,6.945626329282256
3801,마이펫의 이중생활,2016-06-18,22.028,7354,6.3,모험 코미디 애니메이션 가족,"[52849, 156962, 55638]",[124748],328111,6.579389651188498
3816,마이너리티 리포트,2002-06-20,21.302,7413,7.3,액션 스릴러 SF 미스테리,"[500, 72466, 2206]",[488],180,7.2340065208743
3831,미세스 다웃파이어,1993-11-24,28.629,5281,7.2,코미디 드라마 가족,"[2157, 35, 517]",[10965],788,7.161049381407082
3836,아메리칸 허슬,2013-12-03,23.079,6487,6.8,드라마 범죄,"[3894, 51329, 9273]",[17883],168672,6.915428485429356
3861,툼 레이더,2001-06-11,24.058,5386,5.9,모험 판타지 액션 스릴러,"[11701, 10127, 20508]",[12786],1995,6.406335168179327
3872,러브 액츄얼리,2003-09-07,26.745,5668,7.1,코미디 로맨스 드라마,"[3291, 3896, 4566]",[7018],508,7.103301201523834
3878,본 얼티메이텀,2007-08-03,26.842,6689,7.4,액션 드라마 미스테리 스릴러,"[1892, 12041, 11064]",[25598],2503,7.292741340837704
3886,더 서클,2017-04-27,26.538,3994,5.5,드라마 스릴러 SF,"[10990, 31, 236695]",[930710],339988,6.293038030375471
3889,40살까지 못해본 남자,2005-08-11,27.431,5791,6.4,코미디 로맨스,"[4495, 2229, 22226]",[41039],6957,6.684358755746484
3909,로미오와 줄리엣,1996-11-01,25.415,4396,6.8,드라마 로맨스,"[6193, 6194, 17772]",[6201],454,6.9445713208595405
3913,메리에겐 뭔가 특별한 것이 있다,1998-07-15,23.01,4310,6.6,로맨스 코미디,"[6941, 2876, 7399]",[7395],544,6.840915041405407
3916,완벽한 그녀에게 딱 한가지 없는 것,2004-04-13,32.256,4415,6.7,코미디 판타지 로맨스,"[9278, 103, 20750]",[17046],10096,6.8910540512418645
3933,배트맨 포에버,1995-06-16,28.39,4465,5.4,액션 범죄 판타지,"[5576, 2176, 206]",[5572],414,6.194843692894111
3938,데자뷰,2006-11-22,26.189,4033,6.8,액션 스릴러 SF,"[5292, 52851, 5576]",[893],7551,6.951198343144174
3975,배드 티처,2011-05-16,26.957,4177,5.6,코미디,"[6941, 12111, 41088]",[51851],52449,6.326843566831045
