,title,release_date,popularity,vote_count,vote_average,genres,actor,director,id,recommed_count
4381,차이나타운,1974-06-20,20.51,3118,7.9,범죄 드라마 미스테리 스릴러,"[514, 6450, 6593]",[3556],829,7.022919955345294
4382,스네이크 온 어 플레인,2006-08-17,21.412,1464,5.4,액션 범죄 스릴러 공포,"[2231, 25654, 60005]",[4755],326,6.067650722848308
4383,007 문레이커,1979-06-26,23.808,1608,6.1,액션 모험 스릴러 SF,"[10222, 10475, 2369]",[10076],698,6.255029371539578
4384,노토리어스,2009-01-16,22.659,587,6.9,음악 드라마 역사,"[76821, 15543, 101519]",[66121],14410,6.395401602333656
4385,엘리펀트,2003-09-20,25.858,1560,7.1,범죄 드라마,"[19195, 19196, 19197]",[5216],1807,6.542844540440404
4386,라스트 서바이버스,2022-02-04,20.901,56,5.4,스릴러,"[1251567, 5588, 32203]",[1480711],789171,6.3061216050833195
4387,네이든,2014-03-13,22.91,488,6.7,드라마,"[77996, 28847, 39658]",[1184816],278236,6.361666979249758
4388,히달고,2004-02-04,20.156,1011,6.8,서부 모험 액션,"[110, 20803, 2878]",[4945],2023,6.418446266538379
4389,고死: 피의 중간고사,2008-08-06,22.656,123,6.5,공포 스릴러,"[86330, 138112, 138113]",[138108],32272,6.324727205597018
4390,후 엠 아이,2014-09-25,25.408,1269,7.6,스릴러,"[684, 25409, 7805]",[232959],284427,6.6344774718212305
4391,レイプゾンビ3 LUST OF THE DEAD,2013-03-23,18.227,19,5.9,공포 코미디,"[1295126, 76164, 1295124]",[80762],246196,6.317139914785773
4392,폴리스 아카데미 2: 첫임무,1985-03-28,20.853,1249,6.0,코미디 범죄,"[26472, 57349, 57353]",[41720],10157,6.241544570056171
4393,캣츠 아이,1985-04-12,19.103,521,6.7,공포 스릴러,"[69597, 4512, 7169]",[21819],10552,6.364200446389481
4394,뱀파이어 헌터 D: 블러드러스트,2000-08-25,17.654,455,7.5,애니메이션 판타지 공포 액션,"[67471, 617, 20664]",[56339],15999,6.442946640690726
4395,마음이 노래하는 대로,2022-08-10,24.349,23,6.7,로맨스 코미디,"[1778499, 1086261, 46064]",[1594439],1001692,6.321420150227282
4396,메가로돈 라이징,2021-08-27,19.693,110,6.4,액션 SF,"[3197, 2981658, 3214880]",[1604265],866462,6.321404246055668
4397,니노쿠니,2019-08-23,26.667,208,6.6,애니메이션 액션 모험 가족 판타지 로맨스,"[1177942, 1566805, 1115068]",[1207896],594188,6.333446841045052
4398,취권,1978-10-05,25.602,753,7.4,액션 코미디,"[18897, 68676, 68677]",[18899],11230,6.494617669161122
4399,아르고 황금 대탐험,1963-06-19,23.852,480,7.1,모험 가족 판타지,"[40241, 69763, 24819]",[25558],11533,6.405023217416043
4400,G-포스: 기니피그 특공대,2009-07-24,18.353,1591,5.4,애니메이션 가족 판타지 액션 모험 코미디,"[6807, 15277, 56903]",[84851],19585,6.052169320291847
4401,실버라도,1985-07-10,21.1,564,7.0,서부,"[8945, 349, 2047]",[8844],11509,6.405467722974931
4402,노블레스 : 파멸의 시작,2015-11-28,23.266,12,6.7,애니메이션 코미디 드라마 판타지 미스테리 공포,"[1087166, 2539568, 2539573]",[2456126],384698,6.320351813042187
4403,엠마뉴엘,1974-06-25,21.899,567,5.9,드라마 로맨스,"[35319, 5964, 10356]",[38007],24402,6.265805382267785
4404,에일리언 애브덕션,2014-04-04,19.903,307,5.7,공포 SF 스릴러,"[1517868, 995153, 113780]",[1299058],258193,6.273844828819089
4405,Cómo Filmar Una XXX,2017-11-29,20.387,16,5.8,코미디,"[229616, 1927064, 1927054]",[1927053],273831,6.317050581045219
4406,머시니스트,2004-02-09,22.048,4650,7.5,스릴러 드라마,"[3894, 10431, 37946]",[37948],4553,6.9624333841657045
4407,아이 필 프리티,2018-04-19,20.107,1875,6.4,코미디 로맨스,"[440414, 1812, 1017294]",[69124],460668,6.345483660343421
4408,블리스,2021-02-05,22.674,505,5.5,SF 로맨스 드라마,"[887, 3136, 1498026]",[45459],613911,6.22496728928227
4409,영 메시아,2016-03-10,24.151,105,6.4,드라마 역사,"[1465324, 124760, 190908]",[110618],318850,6.3213057798141925
4410,아오 오니,2017-02-11,21.702,10,5.2,공포 애니메이션,"[1253434, 1324468, 992869]",[1991938],432130,6.316306819106377
4411,The Wonderful Autumn of Mickey Mouse,2022-11-18,24.29,2,6.0,애니메이션,"[1217648, 1382187, 84213]",[1242229],1031827,6.319015269351452
4412,에비에이터,2004-12-17,22.344,4554,7.2,드라마,"[6193, 112, 3967]",[1032],2567,6.794446844459532
4413,내니,2022-11-23,24.279,0,0.0,공포 드라마,"[1425924, 11705, 967617]",[1077578],843932,6.3191794563145764
4414,피아니스트의 전설,1998-10-28,18.942,1931,8.3,드라마 음악 로맨스,"[3129, 3201, 59373]",[65314],10376,6.976728789279429
4415,쫄병 길들이기,1995-03-24,19.141,633,6.3,모험 코미디 가족,"[22675, 80987, 21282]",[14692],11008,6.316492889408817
4416,하드 타겟,1993-08-20,27.889,897,6.3,액션,"[15111, 16743, 2714]",[11401],2019,6.315582556395242
4417,화양연화,2000-09-29,23.49,2032,8.1,드라마 로맨스,"[1337, 1338, 12462]",[12453],843,6.930640650090984
4418,Monster High: Freaky Fusion,2014-10-06,21.963,94,7.8,애니메이션,"[1367406, 75037, 93932]",[80948],290727,6.354153609858906
4419,풀 스피드,2016-11-11,17.394,542,5.9,가족 코미디 액션,"[24895, 18177, 1364908]",[1067317],382598,6.267870679141473
4420,코렐리의 만돌린,2001-04-18,14.546,445,5.9,드라마 로맨스 전쟁,"[2963, 955, 5049]",[18844],1722,6.276109759233075
4421,미소녀 전사 세일러 문 S - 가구야 공주의 연인,1994-12-04,24.455,94,7.8,애니메이션 판타지 액션 로맨스 코미디,"[77931, 124478, 57734]",[1162039],30575,6.354153609858906
4422,바비의 프린세스 파워,2015-01-29,19.637,168,6.2,애니메이션,"[74358, 62866, 583061]",[176153],316322,6.3142405937934
4423,세기의 은행털이: 도둑들의 고백,2022-08-10,24.212,15,6.9,다큐멘터리,"[2564217, 3659023, 3659025]",[1087225],1000194,6.321412808828106
4424,호날두,2015-11-09,20.388,305,6.9,역사 다큐멘터리,"[1141894, 1127406, 1819989]",[1186425],361931,6.361448667916594
4425,패밀리 맨,2000-12-12,24.583,1605,6.7,코미디 드라마 로맨스 판타지,"[2963, 4939, 1896]",[11091],5994,6.430491962709605
4426,해리엇,2019-11-01,22.747,634,7.3,드라마 역사,"[1765068, 1254614, 1496392]",[51864],506528,6.456754727265142
4427,취권 2,1994-02-03,23.631,785,7.4,액션 코미디,"[18897, 44917, 69636]",[26775],12207,6.500820245608744
4428,엽문 외전,2018-12-20,21.343,408,6.2,액션 범죄 드라마,"[1183808, 543530, 1185787]",[18899],450001,6.307855465123066
4429,업사이드 다운,2012-09-27,17.633,2244,6.2,로맨스 SF 드라마 판타지,"[205, 38941, 9191]",[52244],58244,6.275551609663694
4430,치프 대디 2: 전부를 걸어라,2021-12-17,24.194,85,6.0,코미디,"[2054565, 1177552, 1508113]",[1682188],922017,6.3123473601708495
4431,Destination 2221 - 199 Ans aux Enchères!,2022-11-22,24.192,0,0.0,,[],[2205620],881312,6.3191794563145764
4432,킬링 디어,2017-10-20,20.338,3078,7.0,드라마 스릴러 미스테리,"[72466, 2227, 1290466]",[122423],399057,6.620093533492023
4433,바비 다이어리,2006-05-17,25.629,317,6.3,가족 애니메이션,"[74358, 59863, 74361]",[150660],21705,6.317732897273006
4434,戦慄怪奇ファイル コワすぎ!史上最恐の劇場版,2014-05-03,24.178,1,9.0,공포,"[1793654, 1793656, 124640]",[124640],854932,6.319869145160392
4435,시티 오브 엔젤,1998-04-10,23.327,1818,6.8,로맨스 드라마 판타지,"[2963, 5344, 6861]",[11887],795,6.472428360315295
4436,북극곰,2022-04-22,24.17,39,7.5,다큐멘터리,[2229],[67589],927070,6.330912450251833
4437,Der Frühreifen-Report,1973-08-16,17.656,26,5.6,코미디 로맨스,"[589137, 558974, 558683]",[125090],80295,6.314399633752158
4438,카사블랑카,1942-11-26,21.377,4459,8.2,드라마 로맨스,"[4110, 4111, 4112]",[4109],289,7.324161937356314
4439,호텔 뭄바이,2019-03-14,18.388,1266,7.6,스릴러 역사 드라마 액션,"[76788, 53807, 142213]",[1484509],416144,6.633915249852183
4440,스트리트 파이터,1994-12-23,18.825,1203,4.6,액션 모험 스릴러 드라마 SF,"[15111, 27888, 21702]",[1726],11667,5.9127788106186765
4441,중2병이라도 사랑이 하고 싶어! 극장판,2013-09-14,25.278,65,7.1,코미디 애니메이션 드라마 로맨스,"[89879, 1296666, 1296667]",[1247708],214553,6.332025149895835
4442,더 바,2017-02-15,21.632,1160,6.3,공포 스릴러 코미디,"[106817, 82700, 102222]",[57865],420648,6.314770385897432
4443,트위스터,1996-05-10,20.324,2668,6.4,액션 모험 드라마,"[9994, 2053, 2130]",[2209],664,6.352079854628997
4444,Cinco lobitos,2022-05-20,22.955,26,7.2,드라마,"[1425019, 101401, 24987]",[2229398],835504,6.325033580582424
