title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
나 홀로 집에 2: 뉴욕을 헤매다,1992-11-19,199.31,8030,6.7,"[{'id': 12, 'name': '모험'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[4517, 11510, 11511]",[10965],772
슈렉,2001-05-18,309.175,14488,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[776, 6941, 12073]",[5524],808
슈렉 2,2004-05-19,214.221,10395,7.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[776, 6941, 12073]",[5524],809
토이 스토리,1995-10-30,254.474,16025,8.0,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 7167, 12898]",[7879],862
토이 스토리 2,1999-10-30,151.855,12064,7.6,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 3234, 12898]",[7879],863
아이언맨,2008-04-30,124.807,23527,7.6,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1229, 3223, 18288]",[15277],1726
캐리비안의 해적: 낯선 조류,2011-05-14,191.61,12418,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[85, 118, 955]",[17633],1865
어메이징 스파이더맨,2012-06-23,140.155,15422,6.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[7026, 37625, 54693]",[87742],1930
라따뚜이,2007-06-28,168.83,14550,7.8,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[65, 7962, 10872]",[7087],2062
유령 신부,2005-09-12,194.55,7621,7.5,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10749, 'name': '로맨스'}]","[85, 1283, 1639]",[510],3933
무서운 영화,2000-07-07,184.131,5834,6.3,"[{'id': 35, 'name': '코미디'}]","[1772, 9562, 17866]",[35689],4247
마법에 걸린 사랑,2007-11-20,241.333,4757,6.8,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[9273, 11006, 18352]",[15775],4523
L'infermiera,1975-12-19,135.56,25,5.5,"[{'id': 35, 'name': '코미디'}]","[9871, 24599, 39019]",[39018],4705
폴라 익스프레스,2004-11-10,142.976,5265,6.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 42287, 42362]",[24],5255
브라더스,2009-01-22,306.624,2621,7.2,"[{'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}, {'id': 10752, 'name': '전쟁'}]","[131, 524, 2219]",[53334],7445
라이온 킹,1994-06-23,217.365,15927,8.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 18, 'name': '드라마'}, {'id': 10751, 'name': '가족'}]","[4756, 15152, 16940]",[15812],8587
그린치,2000-11-15,270.387,6160,6.7,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[206, 4175, 20480]",[6159],8871
지퍼스 크리퍼스,2001-07-01,135.156,2445,6.4,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[15033, 56356, 56357]",[56349],8922
트와일라잇,2008-11-20,187.491,11941,6.3,"[{'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 21029, 37917]",[19850],8966
팀버튼의 크리스마스 악몽,1993-10-09,220.98,7875,7.8,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[531, 11514, 14541]",[57646],9479
암흑 속의 혈투,1993-02-05,136.401,983,8.1,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 80, 'name': '범죄'}]","[4589, 58646, 58647]",[18596],9702
페어런트 트랩,1998-07-28,167.47,3477,7.1,"[{'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[6065, 20162, 49265]",[17698],9820
아이언맨 2,2010-04-28,180.151,18594,6.8,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1896, 3223, 12052]",[15277],10138
